company_cin,company_gid,num_invoices_sent,total_sent_amount,avg_sent_amount,total_itc_sent,num_suspicious_sent,num_fraud_invoices_sent,unique_buyers,num_invoices_received,total_received_amount,avg_received_amount,total_itc_received,num_suspicious_received,num_fraud_invoices_received,unique_suppliers,total_invoices,total_amount_all,avg_invoice_amount_all,total_itc_all,num_fraud_invoices,num_suspicious_flags,unique_partners,itc_ratio,company_name,state,address,pagerank,clustering_coeff,in_degree,out_degree,label
CIN000585,0,3.0,111858.0,37286.0,2.0,0.0,0.0,3.0,3.0,1860373.0,620124.3333333334,3.0,1.0,1.0,3.0,6.0,1972231.0,328705.1666666667,5.0,1.0,1.0,6.0,2.535199984180352e-06,Company_585,Maharashtra,"880, Tamil Nadu",0.00020447104072198323,0.0,3,3,1
CIN001327,1,5.0,342324.0,68464.8,5.0,0.0,0.0,5.0,6.0,1329424.0,221570.66666666666,5.0,1.0,1.0,6.0,11.0,1671748.0,145017.73333333334,10.0,1.0,1.0,11.0,5.981762801570572e-06,Company_1327,Maharashtra,"678, Gujarat",0.0004354851154489773,0.0,6,5,1
CIN001758,2,6.0,301921.0,50320.166666666664,5.0,0.0,0.0,6.0,4.0,1452874.0,363218.5,4.0,1.0,1.0,4.0,10.0,1754795.0,206769.33333333334,9.0,1.0,1.0,10.0,5.128804219296271e-06,Company_1758,Tamil Nadu,"136, West Bengal",0.0002174854145454641,0.0,4,6,1
CIN001006,3,4.0,3122317.0,780579.25,4.0,2.0,2.0,4.0,8.0,5361613.0,670201.625,7.0,4.0,4.0,8.0,12.0,8483930.0,725390.4375,11.0,6.0,6.0,12.0,1.2965689250147043e-06,Company_1006,West Bengal,"63, Delhi",0.0006832336154047577,0.0,8,4,1
CIN000858,4,8.0,3408232.0,426029.0,7.0,3.0,3.0,8.0,12.0,2984930.0,248744.16666666666,11.0,3.0,3.0,12.0,20.0,6393162.0,337386.5833333333,18.0,6.0,6.0,20.0,2.8155081945366003e-06,Company_858,Gujarat,"767, West Bengal",0.001069941405584111,0.0,12,8,1
CIN001180,5,9.0,5624519.0,624946.5555555555,7.0,4.0,4.0,9.0,2.0,88743.0,44371.5,2.0,0.0,0.0,2.0,11.0,5713262.0,334659.02777777775,9.0,4.0,4.0,11.0,1.5752822118082455e-06,Company_1180,Karnataka,"109, Maharashtra",0.00019000333475833336,0.0,2,9,1
CIN000195,6,6.0,2932217.0,488702.8333333333,5.0,2.0,2.0,6.0,5.0,2207100.0,441420.0,5.0,1.0,1.0,5.0,11.0,5139317.0,465061.4166666666,10.0,3.0,3.0,11.0,1.9457838463749172e-06,Company_195,West Bengal,"112, Uttar Pradesh",0.00042319527487538376,0.0,5,6,1
CIN001679,7,5.0,331984.0,66396.8,3.0,0.0,0.0,5.0,2.0,106891.0,53445.5,1.0,0.0,0.0,2.0,7.0,438875.0,59921.15,4.0,0.0,0.0,7.0,9.114212475078325e-06,Company_1679,Uttar Pradesh,"240, West Bengal",0.00020241835968502742,0.047619047619047616,2,5,0
CIN000315,8,10.0,387919.0,38791.9,9.0,0.0,0.0,10.0,6.0,4920736.0,820122.6666666666,5.0,4.0,4.0,6.0,16.0,5308655.0,429457.2833333333,14.0,4.0,4.0,16.0,2.6372028319790982e-06,Company_315,Maharashtra,"917, West Bengal",0.0005131218351287723,0.008333333333333333,6,10,1
CIN000698,9,14.0,4218920.0,301351.4285714286,11.0,4.0,4.0,14.0,3.0,150459.0,50153.0,2.0,0.0,0.0,3.0,17.0,4369379.0,175752.2142857143,13.0,4.0,4.0,17.0,2.9752511741371027e-06,Company_698,Gujarat,"366, West Bengal",0.0003113202285095457,0.007352941176470588,3,14,1
CIN000416,10,11.0,3183132.0,289375.63636363635,8.0,2.0,2.0,11.0,7.0,322724.0,46103.42857142857,6.0,0.0,0.0,7.0,18.0,3505856.0,167739.53246753247,14.0,2.0,2.0,18.0,3.993318607495573e-06,Company_416,Maharashtra,"404, Delhi",0.0007297935073064662,0.0,7,11,1
CIN001482,11,8.0,3598320.0,449790.0,8.0,2.0,2.0,8.0,13.0,2089626.0,160740.46153846153,10.0,2.0,2.0,13.0,21.0,5687946.0,305265.23076923075,18.0,4.0,4.0,21.0,3.1645870055728377e-06,Company_1482,Delhi,"498, Tamil Nadu",0.0011694665240272006,0.005263157894736842,13,8,1
CIN000510,12,10.0,2400060.0,240006.0,5.0,1.0,1.0,10.0,7.0,1342355.0,191765.0,5.0,1.0,1.0,7.0,17.0,3742415.0,215885.5,10.0,2.0,2.0,17.0,2.6720713763706054e-06,Company_510,West Bengal,"488, Karnataka",0.00039602047426845217,0.0,7,10,1
CIN001752,13,10.0,1903992.0,190399.2,6.0,2.0,2.0,10.0,9.0,1413147.0,157016.33333333334,8.0,1.0,1.0,9.0,19.0,3317139.0,173707.76666666666,14.0,3.0,3.0,19.0,4.2205044769001235e-06,Company_1752,Karnataka,"846, Maharashtra",0.0007579472914126754,0.0,9,10,1
CIN000824,14,6.0,2711198.0,451866.3333333333,5.0,2.0,2.0,6.0,7.0,299790.0,42827.142857142855,4.0,0.0,0.0,7.0,13.0,3010988.0,247346.73809523808,9.0,2.0,2.0,13.0,2.989052098513843e-06,Company_824,West Bengal,"337, West Bengal",0.0012005523627031847,0.0,7,6,1
