Supplier_Name,Supplier_CIN,Supplier_GSTIN,Supplier_Address,Supplier_State,Buyer_Name,Buyer_CIN,Buyer_GSTIN,Buyer_Address,Buyer_State,Invoice_Number,Invoice_Date,HSN_Code,Item_Description,Quantity,Unit,Rate_per_Unit,Total_Amount_ex_GST,CGST,SGST_UTGST,IGST,Taxable_Value,Total_Invoice_Value_with_GST,Payment_Type,ITC_Claimed,Transaction_ID,Payment_Flow,Amount,Date,Fraud_Label,Suspicious_Pattern_Flags,supplier_cin,buyer_cin,amount_num,itc_num,cgst,sgst,igst,gst_total,is_suspicious_flag,source,target,Payment_Type_enc,HSN_Code_enc,taxable_value
Company_585,CIN000585,GST000585,"880, Tamil Nadu",Maharashtra,Company_208,CIN000208,GST000208,"855, Karnataka",Delhi,INV00000000,2023-04-22,1101,Raw Material,9,pcs,9012,31406,2826,2826,5818,31406,32324,Cheque,1,TXN00000000,CIN000585->CIN000208,32324,2023-05-16,0,,CIN000585,CIN000208,32324,1,2826,2826,5818,11470,False,0,265,1,0,0
Company_1327,CIN001327,GST001327,"678, Gujarat",Maharashtra,Company_491,CIN000491,GST000491,"884, Gujarat",Tamil Nadu,INV00000001,2023-02-27,1101,Raw Material,12,ltr,4086,53568,4821,4821,0,53568,58410,UPI,1,TXN00000001,CIN001327->CIN000491,58410,2023-04-08,0,,CIN001327,CIN000491,58410,1,4821,4821,0,9642,False,1,1059,4,0,0
Company_1758,CIN001758,GST001758,"136, West Bengal",Tamil Nadu,Company_801,CIN000801,GST000801,"573, Karnataka",West Bengal,INV00000002,2023-11-12,9403,Furniture,1,kg,4520,29578,2662,2662,0,29578,32336,RTGS,1,TXN00000002,CIN001758->CIN000801,32336,2023-04-29,0,,CIN001758,CIN000801,32336,1,2662,2662,0,5324,False,2,338,3,4,0
Company_1006,CIN001006,GST001006,"63, Delhi",West Bengal,Company_893,CIN000893,GST000893,"474, Karnataka",Maharashtra,INV00000003,2023-11-01,1101,Raw Material,12,box,7214,48871,4398,4398,0,48871,53777,UPI,1,TXN00000003,CIN001006->CIN000893,53777,2023-04-14,0,,CIN001006,CIN000893,53777,1,4398,4398,0,8796,False,3,97,4,0,0
Company_858,CIN000858,GST000858,"767, West Bengal",Gujarat,Company_492,CIN000492,GST000492,"627, Karnataka",Gujarat,INV00000004,2023-07-02,8517,Mobile,8,ltr,8675,70692,6362,6362,0,70692,72480,NEFT,1,TXN00000004,CIN000858->CIN000492,72480,2023-03-13,0,,CIN000858,CIN000492,72480,1,6362,6362,0,12724,False,4,1101,2,2,0
Company_1180,CIN001180,GST001180,"109, Maharashtra",Karnataka,Company_997,CIN000997,GST000997,"953, West Bengal",Karnataka,INV00000005,2023-03-29,8471,Laptop,6,ltr,920,90341,8130,8130,0,90341,96429,Cash,1,TXN00000005,CIN001180->CIN000997,96429,2023-03-10,0,,CIN001180,CIN000997,96429,1,8130,8130,0,16260,False,5,1680,0,1,0
Company_195,CIN000195,GST000195,"112, Uttar Pradesh",West Bengal,Company_1741,CIN001741,GST001741,"224, Tamil Nadu",Gujarat,INV00000006,2023-11-13,8523,Software License,73,kg,3914,1626863,146417,146417,0,1626863,1734813,UPI,1,TXN00000006,CIN000195->CIN001741,1734813,2023-01-23,1,Round Tripping,CIN000195,CIN001741,1734813,1,146417,146417,0,292834,True,6,17,4,3,0
Company_1679,CIN001679,GST001679,"240, West Bengal",Uttar Pradesh,Company_677,CIN000677,GST000677,"645, Delhi",Maharashtra,INV00000007,2023-04-03,8523,Software License,2,ltr,9538,59310,5337,5337,0,59310,67470,NEFT,1,TXN00000007,CIN001679->CIN000677,67470,2023-05-08,0,,CIN001679,CIN000677,67470,1,5337,5337,0,10674,False,7,62,2,3,0
Company_315,CIN000315,GST000315,"917, West Bengal",Maharashtra,Company_1307,CIN001307,GST001307,"648, West Bengal",Karnataka,INV00000008,2023-02-10,9403,Furniture,4,kg,7413,2837,255,255,0,2837,3239,Cash,1,TXN00000008,CIN000315->CIN001307,3239,2023-06-12,0,,CIN000315,CIN001307,3239,1,255,255,0,510,False,8,1461,0,4,0
Company_698,CIN000698,GST000698,"366, West Bengal",Gujarat,Company_621,CIN000621,GST000621,"848, Karnataka",Maharashtra,INV00000009,2023-03-07,9403,Furniture,4,pcs,5708,53266,4793,4793,0,53266,62378,RTGS,0,TXN00000009,CIN000698->CIN000621,62378,2023-09-20,0,,CIN000698,CIN000621,62378,0,4793,4793,0,9586,False,9,564,3,4,0
