invoice_id,seller_id,buyer_id,amount,date,itc_claimed
INV00000000,GST000835,GST000153,8967.278336820993,2023-01-29,1
INV00000001,GST000388,GST000961,324.9499354791179,2023-08-19,1
INV00000002,GST000606,GST000928,154448.9055451788,2023-08-22,1
INV00000003,GST000080,GST000514,158903.33347671913,2023-10-10,1
INV00000004,GST000087,GST000905,3704.1338318305375,2023-11-15,1
INV00000005,GST000276,GST000409,938465.8553775625,2023-08-01,0
INV00000006,GST000895,GST000986,25773.899177540257,2023-12-09,1
INV00000007,GST000958,GST000243,246352.4823580895,2023-12-06,0
INV00000008,GST000640,GST000418,88448.93429638374,2023-04-03,1
INV00000009,GST000430,GST000157,307825.9319981752,2023-07-18,1
INV00000010,GST000642,GST000072,32163.740024304778,2023-02-20,1
INV00000011,GST000673,GST000127,8072.629405695254,2023-08-18,1
INV00000012,GST000094,GST000840,20618.61573088904,2023-07-08,0
INV00000013,GST000004,GST000144,827961.5943020215,2023-05-18,1
INV00000014,GST000844,GST000650,3969.686593012661,2023-06-04,0
INV00000015,GST000160,GST000178,6834.46592551384,2023-11-17,1
INV00000016,GST000770,GST000848,46209.49835079187,2023-11-05,1
INV00000017,GST000573,GST000548,34180.65487738266,2023-03-28,1
INV00000018,GST000927,GST000319,23139.103892242525,2023-02-01,0
INV00000019,GST000215,GST000521,2927784.646555707,2023-02-26,0
INV00000020,GST000472,GST000294,150660.66219892594,2023-05-08,1
INV00000021,GST000223,GST000541,4363.118932252885,2023-03-15,1
INV00000022,GST000484,GST000808,610412.9317025878,2023-08-16,1
INV00000023,GST000496,GST000025,858858.56763035,2023-09-27,1
INV00000024,GST000018,GST000383,129532.84850145562,2023-07-17,1
INV00000025,GST000965,GST000315,1430.791590293465,2023-09-19,1
INV00000026,GST000626,GST000665,33812.16772563788,2023-11-23,1
INV00000027,GST000578,GST000235,5335.309959145828,2023-01-30,0
INV00000028,GST000446,GST000736,149092.3242281387,2023-07-09,1
INV00000029,GST000807,GST000674,22484.421406350823,2023-08-29,0
INV00000030,GST000874,GST000120,5790.281808989956,2023-05-17,1
INV00000031,GST000677,GST000877,27842.78843651418,2023-09-15,0
INV00000032,GST000288,GST000001,60255.071630088096,2023-03-07,0
INV00000033,GST000180,GST000465,2205.2964692659893,2023-03-30,1
INV00000034,GST000063,GST000242,2408.746654815714,2023-10-01,1
INV00000035,GST000988,GST000464,40834.338003350305,2023-07-07,1
INV00000036,GST000824,GST000909,1826071.71811357,2023-06-24,0
INV00000037,GST000679,GST000671,261514.3589512679,2023-03-16,0
INV00000038,GST000561,GST000982,3412.714669958352,2023-07-24,1
INV00000039,GST000198,GST000139,47068.89715944602,2023-07-10,1
INV00000040,GST000337,GST000990,19163.673567271635,2023-05-30,1
INV00000041,GST000538,GST000622,1880.2461102202349,2023-10-29,0
INV00000042,GST000929,GST000990,650.2332154462082,2023-11-13,1
INV00000043,GST000947,GST000204,1762.2157522640366,2023-03-13,1
INV00000044,GST000365,GST000224,107208.97786042161,2023-10-19,1
INV00000045,GST000569,GST000058,88411.17851435968,2023-05-21,0
INV00000046,GST000567,GST000497,243635.00437519728,2023-03-05,0
INV00000047,GST000078,GST000202,2004.695789453383,2023-01-19,1
INV00000048,GST000999,GST000590,95218.58199255017,2023-08-14,1
INV00000049,GST000280,GST000875,8982.2959863601,2023-09-18,1
INV00000050,GST000888,GST000258,1533.8102145729706,2023-08-16,1
INV00000051,GST000410,GST000152,63859.46033406056,2023-01-08,1
INV00000052,GST000635,GST000885,3049.4630143710747,2023-04-27,1
INV00000053,GST000802,GST000032,2159.0470755732727,2023-09-08,0
INV00000054,GST000674,GST000834,20005.054181115804,2023-05-12,1
INV00000055,GST000821,GST000699,16993.632603422288,2023-09-27,0
INV00000056,GST000466,GST000698,139841.9354110143,2023-02-02,0
INV00000057,GST000460,GST000218,5455.875367368665,2023-06-08,1
INV00000058,GST000088,GST000642,66340.97535989797,2023-11-07,0
INV00000059,GST000036,GST000706,91688.82080443861,2023-03-26,0
INV00000060,GST000579,GST000078,327158.6464342684,2023-08-02,0
INV00000061,GST000220,GST000923,9610.62345545578,2023-10-04,1
INV00000062,GST000143,GST000272,19004.98839642065,2023-04-12,1
INV00000063,GST000569,GST000336,89375.47194587308,2023-03-01,1
INV00000064,GST000985,GST000864,15361.349490080112,2023-07-23,1
INV00000065,GST000896,GST000154,3830.6896667373007,2023-04-24,1
INV00000066,GST000723,GST000051,157486.4806523624,2023-11-19,1
INV00000067,GST000409,GST000197,10247.72162606667,2023-07-10,0
INV00000068,GST000938,GST000823,93828.12825517352,2023-11-22,1
INV00000069,GST000071,GST000645,354204.7836187592,2023-12-31,0
INV00000070,GST000231,GST000408,38670.635910732606,2023-03-17,0
INV00000071,GST000873,GST000135,1872.080525607319,2023-12-02,1
INV00000072,GST000211,GST000015,4027.477573584389,2023-10-08,0
INV00000073,GST000149,GST000308,84358.8529924999,2023-05-25,0
INV00000074,GST000036,GST000106,169021.4014672633,2023-06-02,1
INV00000075,GST000501,GST000788,144103.81191505192,2023-07-24,0
INV00000076,GST000877,GST000042,6186.793082822719,2023-12-25,1
INV00000077,GST000519,GST000874,9854.44479463205,2023-03-14,1
INV00000078,GST000935,GST000581,1600.3355865846443,2023-04-11,0
INV00000079,GST000909,GST000988,950418.5033773419,2023-02-15,1
INV00000080,GST000380,GST000676,2026571.3936794319,2023-10-03,1
INV00000081,GST000013,GST000753,45121.614385188965,2023-11-05,1
INV00000082,GST000761,GST000220,540950.6581098522,2023-12-17,1
INV00000083,GST000290,GST000876,2641.115674004956,2023-09-18,0
INV00000084,GST000032,GST000165,147137.86187087922,2023-09-02,1
INV00000085,GST000875,GST000010,21393.608549636476,2023-07-05,1
INV00000086,GST000367,GST000819,1410.2941315257965,2023-01-22,1
INV00000087,GST000311,GST000940,6470.556137648805,2023-09-02,0
INV00000088,GST000317,GST000647,55026.30224370767,2023-10-31,0
INV00000089,GST000624,GST000601,240418.2423017433,2023-09-05,1
INV00000090,GST000635,GST000579,34649.39856278926,2023-10-24,1
INV00000091,GST000174,GST000854,23495.386317682143,2023-07-02,1
INV00000092,GST000788,GST000597,92865.3705760079,2023-03-08,1
INV00000093,GST000123,GST000946,304772.23514237534,2023-03-29,0
INV00000094,GST000051,GST000839,4442.123876565674,2023-05-03,0
INV00000095,GST000048,GST000299,120470.96524355788,2023-05-19,1
INV00000096,GST000458,GST000240,573.7344999390704,2023-05-19,1
INV00000097,GST000238,GST000709,115488.84649348236,2023-09-24,0
INV00000098,GST000980,GST000937,26273.647137539177,2023-04-09,1
INV00000099,GST000269,GST000452,2676.7979456565904,2023-03-02,1
INV00000100,GST000016,GST000155,1168.9236273616496,2023-07-31,0
INV00000101,GST000806,GST000883,632.9372493068096,2023-09-23,0
INV00000102,GST000597,GST000305,37278.02796297028,2023-08-22,1
INV00000103,GST000822,GST000505,1380.0180107017347,2023-12-09,1
INV00000104,GST000724,GST000610,10756362.048689136,2023-04-09,1
INV00000105,GST000316,GST000896,5862.576673540016,2023-12-27,1
INV00000106,GST000462,GST000219,71211.29793045226,2023-02-22,0
INV00000107,GST000230,GST000024,4804.511059361434,2023-07-25,0
INV00000108,GST000530,GST000580,7322.687766661502,2023-09-21,1
INV00000109,GST000410,GST000870,2292.867680874766,2023-10-29,1
INV00000110,GST000515,GST000341,14908.587849318026,2023-10-20,1
INV00000111,GST000522,GST000037,21790.047283231972,2023-03-24,1
INV00000112,GST000229,GST000581,5278.1714965504325,2023-09-09,1
INV00000113,GST000140,GST000544,1799.7002490635284,2023-02-18,1
INV00000114,GST000030,GST000913,3294.4694932750845,2023-02-08,1
INV00000115,GST000176,GST000905,150820.60948948385,2023-10-13,1
INV00000116,GST000545,GST000411,494.0258388120104,2023-08-19,1
INV00000117,GST000651,GST000196,133711.16942336637,2023-10-05,1
INV00000118,GST000507,GST000524,38313.977627588,2023-06-25,1
INV00000119,GST000861,GST000901,260880.25039956762,2023-05-28,1
INV00000120,GST000779,GST000476,15641.283643913634,2023-06-02,0
INV00000121,GST000853,GST000599,5545.975025564716,2023-09-27,1
INV00000122,GST000780,GST000380,7731.261366313313,2023-02-02,1
INV00000123,GST000907,GST000969,393310.84015075,2023-11-01,0
INV00000124,GST000088,GST000487,17895.255338005732,2023-09-28,1
INV00000125,GST000084,GST000486,2633.6476669109534,2023-06-09,1
INV00000126,GST000032,GST000718,57508.29366978104,2023-05-13,1
INV00000127,GST000125,GST000109,238287.53052577612,2023-05-25,1
INV00000128,GST000898,GST000781,41655.853888934005,2023-04-01,1
INV00000129,GST000517,GST000506,8081.654103027886,2023-10-15,1
INV00000130,GST000215,GST000492,75795.62598203028,2023-09-11,0
INV00000131,GST000106,GST000852,26278.412609644285,2023-01-24,1
INV00000132,GST000886,GST000226,1334.3351294468687,2023-11-06,1
INV00000133,GST000429,GST000356,11430.86680651443,2023-11-22,0
INV00000134,GST000341,GST000518,827.2762013128847,2023-09-21,1
INV00000135,GST000827,GST000530,15590.691011354815,2023-06-25,0
INV00000136,GST000315,GST000641,259087.01196456488,2023-08-26,1
INV00000137,GST000163,GST000052,160425.57340953182,2023-09-19,1
INV00000138,GST000387,GST000993,200146.18475105107,2023-04-23,1
INV00000139,GST000380,GST000356,14578.889718387443,2023-09-20,0
INV00000140,GST000815,GST000133,669177.5192012974,2023-09-10,1
INV00000141,GST000110,GST000402,392541.5451400336,2023-03-27,0
INV00000142,GST000781,GST000285,14349.555578887457,2023-07-19,0
INV00000143,GST000304,GST000941,160857.01619419846,2023-09-23,1
INV00000144,GST000535,GST000680,257768.45050568646,2023-09-29,0
INV00000145,GST000943,GST000633,4199155.924887539,2023-04-15,1
INV00000146,GST000430,GST000111,8966.530055069996,2023-03-27,1
INV00000147,GST000636,GST000994,28100.869465386186,2023-09-21,1
INV00000148,GST000967,GST000232,1190502.4734208866,2023-07-28,0
INV00000149,GST000758,GST000655,77248.67743884677,2023-09-24,1
INV00000150,GST000906,GST000152,17658.564837529368,2023-09-10,1
INV00000151,GST000814,GST000533,469542.79657304514,2023-01-23,0
INV00000152,GST000402,GST000593,362.1258998079147,2023-03-28,1
INV00000153,GST000111,GST000108,55560.912644385455,2023-11-19,1
INV00000154,GST000370,GST000110,339145.7021273134,2023-08-08,1
INV00000155,GST000946,GST000821,438.3572806691016,2023-06-20,0
INV00000156,GST000459,GST000073,11556.273069348419,2023-06-03,1
INV00000157,GST000658,GST000953,8637.272671827137,2023-03-23,1
INV00000158,GST000166,GST000366,287435.41537217516,2023-08-24,1
INV00000159,GST000621,GST000533,1324.4037956883233,2023-06-15,1
INV00000160,GST000879,GST000506,11813.517858710893,2023-02-11,1
INV00000161,GST000667,GST000414,2841.301967834538,2023-08-25,1
INV00000162,GST000357,GST000941,249207.29387942638,2023-11-28,1
INV00000163,GST000025,GST000348,74316.6580085437,2023-02-04,0
INV00000164,GST000488,GST000329,19225.863955908146,2023-09-06,1
INV00000165,GST000981,GST000032,2279.0384666549285,2023-02-21,0
INV00000166,GST000388,GST000037,2894.559546963721,2023-01-26,0
INV00000167,GST000869,GST000626,511504.5753906381,2023-06-16,1
INV00000168,GST000129,GST000860,3835.0871663947873,2023-05-25,1
INV00000169,GST000205,GST000723,757.3479654910494,2023-03-28,0
INV00000170,GST000870,GST000579,48327.47425673769,2023-03-22,1
INV00000171,GST000869,GST000177,834.0797086461497,2023-11-12,0
INV00000172,GST000754,GST000782,93194.84316899354,2023-05-10,0
INV00000173,GST000450,GST000869,1419.7340755696941,2023-08-27,1
INV00000174,GST000239,GST000799,11700.211021918898,2023-04-19,1
INV00000175,GST000640,GST000577,2410.822016119196,2023-01-25,1
INV00000176,GST000824,GST000331,4929.786997805575,2023-09-01,1
INV00000177,GST000196,GST000843,11382.233229969755,2023-06-11,1
INV00000178,GST000133,GST000557,335601.7604433853,2023-05-08,1
INV00000179,GST000015,GST000054,284106.5754227992,2023-06-06,1
INV00000180,GST000062,GST000144,14902.724368282237,2023-12-20,1
INV00000181,GST000124,GST000057,118.82477818188922,2023-02-24,1
INV00000182,GST000616,GST000990,3816.9840863549753,2023-05-02,1
INV00000183,GST000907,GST000592,7891.665615466565,2023-04-06,1
INV00000184,GST000879,GST000553,37398.84616215754,2023-06-21,1
INV00000185,GST000370,GST000548,117960.56835292478,2023-11-13,0
INV00000186,GST000317,GST000646,45231.728521702695,2023-10-21,1
INV00000187,GST000832,GST000038,3977.674856152777,2023-06-13,0
INV00000188,GST000840,GST000909,177462.25770722458,2023-10-21,1
INV00000189,GST000497,GST000625,53792.570713025554,2023-10-12,0
INV00000190,GST000604,GST000821,1262.3148800264585,2023-11-10,0
INV00000191,GST000594,GST000050,30322.854529447017,2023-05-29,1
INV00000192,GST000801,GST000839,772.6555421761208,2023-03-20,1
INV00000193,GST000241,GST000278,167670.58632131128,2023-04-22,0
INV00000194,GST000308,GST000604,890.5410727225684,2023-08-01,1
INV00000195,GST000142,GST000241,11384.2768001773,2023-06-07,1
INV00000196,GST000271,GST000449,43651.34286041449,2023-01-11,1
INV00000197,GST000522,GST000687,30224.86756265781,2023-06-02,1
INV00000198,GST000196,GST000145,713.7141076054029,2023-06-25,1
INV00000199,GST000592,GST000261,78483.49964870035,2023-10-09,1
INV00000200,GST000266,GST000901,28892.177099883706,2023-10-21,1
INV00000201,GST000606,GST000032,6605.557593797904,2023-02-17,1
INV00000202,GST000857,GST000750,2838.73958112705,2023-02-27,0
INV00000203,GST000962,GST000355,965.0618620765084,2023-07-08,1
INV00000204,GST000949,GST000665,2393.687479562561,2023-10-08,1
INV00000205,GST000751,GST000904,3764.3583661499993,2023-05-06,0
INV00000206,GST000780,GST000592,380577.57214236935,2023-10-12,0
INV00000207,GST000055,GST000929,162150.19300737124,2023-01-17,0
INV00000208,GST000118,GST000662,2261.61977616662,2023-11-02,1
INV00000209,GST000010,GST000765,968.7056772960053,2023-02-04,1
INV00000210,GST000755,GST000062,16133.956561733507,2023-09-19,1
INV00000211,GST000009,GST000454,1783.5859029170392,2023-12-14,1
INV00000212,GST000110,GST000110,61467.274121700764,2023-05-18,1
INV00000213,GST000674,GST000785,61616.940141082945,2023-07-05,1
INV00000214,GST000813,GST000856,3702.1143300705226,2023-10-23,1
INV00000215,GST000768,GST000545,1362.1484320500251,2023-11-24,1
INV00000216,GST000660,GST000646,84810.908046083,2023-10-24,0
INV00000217,GST000232,GST000596,574.5751395883944,2023-09-30,1
INV00000218,GST000071,GST000323,6990.075101179595,2023-06-25,1
INV00000219,GST000145,GST000285,63585.584239446755,2023-07-28,0
INV00000220,GST000742,GST000189,63511.14668549325,2023-03-06,1
INV00000221,GST000719,GST000058,5358.688279123999,2023-12-07,1
INV00000222,GST000555,GST000616,18927.29711627132,2023-03-18,1
INV00000223,GST000722,GST000172,16945.487057313592,2023-05-09,0
INV00000224,GST000534,GST000997,1469.3571854998265,2023-04-27,0
INV00000225,GST000578,GST000986,266836.6102489459,2023-06-17,1
