company_id,name,GSTIN,PAN,registration_date,address,city,state,industry,avg_monthly_turnover,total_invoices_sent,total_invoices_received,total_amount_sent,total_amount_received,unique_buyers,unique_sellers,avg_invoice_amount_sent,avg_invoice_amount_received,days_since_registration,invoices_per_month,amount_variance,circular_trading_score,self_invoicing_count,late_filing_count,gst_compliance_rate,turnover_vs_industry_avg,buyer_concentration,seller_concentration,weekend_transaction_ratio,round_amount_ratio,is_fraud
D01C0001,Company_0001,E41JRQX2DB4P1AQ,CLPRX0236L,2023-09-08,757 Street 22,Delhi,Delhi,Finance,20909398.03,71,358,1768375.83,4087913.04,53,62,24906.7,11418.75,480,37.62,1.769,0.2756,0,7,0.835,1.453,0.792,0.455,0.009,0.297,0
D01C0002,Company_0002,ZI86BAT7NHPBHPR,TEOGW3805Q,2023-12-23,100 Street 38,Chennai,Tamil Nadu,Logistics,36044192.22,433,106,3257457.02,98526.59,15,49,7523.0,929.5,249,8.86,0.771,0.2983,6,18,0.869,0.742,0.583,0.067,0.287,0.34,0
D01C0003,Company_0003,IIHQKA4UXG94ELZ,HBADK8983D,2022-12-15,819 Street 9,Pune,Maharashtra,IT Services,105707.3,400,116,2521821.25,3287046.73,95,30,6304.55,28336.61,1491,34.55,1.435,0.0814,7,14,0.747,1.647,0.777,0.663,0.257,0.02,0
D01C0004,Company_0004,Z7P3YKV54SVBI2O,XCGLE0052D,2023-02-28,991 Street 23,Pune,Maharashtra,Finance,15186395.37,145,239,4980175.06,8397502.23,51,65,34346.03,35135.99,892,22.59,0.192,0.1683,8,19,0.854,0.6,0.507,0.362,0.067,0.429,0
D01C0005,Company_0005,GTZYNPS2SORBBZ9,OEGQS7722V,2021-07-04,710 Street 30,Pune,Maharashtra,Healthcare,7423118.95,217,67,8253373.13,675098.6,77,13,38033.98,10076.1,1055,1.21,1.657,0.6144,3,15,0.994,1.356,0.007,0.418,0.083,0.053,0
D01C0006,Company_0006,VOGS91T4IS8UQJT,TQXJC4459G,2022-07-21,444 Street 45,Delhi,Delhi,Manufacturing,4707695.88,406,488,8547025.53,1098926.48,37,53,21051.79,2251.9,1348,35.41,0.705,0.4924,9,4,0.994,0.99,0.16,0.284,0.15,0.341,0
D01C0007,Company_0007,8A23503SUPC5UHS,KICSL0210Z,2020-09-08,555 Street 36,Bangalore,Karnataka,Healthcare,9394384.55,381,49,5978507.92,7032784.1,33,30,15691.62,143526.21,1202,39.85,0.521,0.4119,8,5,0.885,1.786,0.989,0.095,0.27,0.161,0
D01C0008,Company_0008,RMMTWWQBIGV4223,IKEMM0637P,2021-07-17,529 Street 7,Chennai,Tamil Nadu,Agriculture,17343480.28,138,356,2439728.65,5165874.76,80,33,17679.19,14510.88,639,17.59,0.786,0.5157,4,19,0.926,1.573,0.971,0.408,0.281,0.077,0
D01C0009,Company_0009,J4YCAA1IDWMCFSG,UBFSG5531E,2022-12-26,46 Street 32,Bangalore,Karnataka,Logistics,19898696.96,269,88,1905602.25,5006759.91,8,50,7084.02,56895.0,734,24.39,0.317,0.8874,9,16,0.718,1.339,0.55,0.296,0.191,0.401,0
D01C0010,Company_0010,JZQLRANPGD6SHV3,MZMTM1107H,2020-10-27,590 Street 19,Delhi,Delhi,Construction,26986955.03,61,71,7446735.6,3767416.7,57,79,122077.63,53062.21,712,3.39,0.658,0.9551,0,11,0.917,1.452,0.822,0.053,0.17,0.326,1
D01C0011,Company_0011,AAFZFZYTH92SIXO,TAEGZ2976T,2021-12-01,558 Street 50,Hyderabad,Telangana,Logistics,21017806.27,409,116,2410279.87,6054960.49,38,58,5893.1,52197.94,270,12.1,0.117,0.2557,3,7,0.819,1.971,0.053,0.39,0.171,0.245,1
D01C0012,Company_0012,ULWCK85L4L70OJA,FBEJN5653F,2020-07-06,126 Street 10,Ahmedabad,Gujarat,Healthcare,34292453.07,205,248,5417934.36,8522114.23,86,28,26428.95,34363.36,1400,35.12,0.581,0.2337,8,19,0.716,1.372,0.419,0.218,0.119,0.316,0
D01C0013,Company_0013,5B38UG59ZSNMHYP,NZJFN9647O,2023-03-25,680 Street 42,Delhi,Delhi,Retail,10302167.26,91,323,7505343.83,2805384.41,60,23,82476.31,8685.4,352,7.92,1.692,0.0702,9,11,0.907,0.588,0.137,0.389,0.064,0.297,0
