company_id,name,GSTIN,PAN,registration_date,address,city,state,industry,avg_monthly_turnover,is_shell,is_high_risk,is_fraud,total_sent_amount,sent_invoice_count,avg_sent_amount,std_sent_amount,total_itc_sent,total_gst_sent,total_received_amount,received_invoice_count,avg_received_amount,std_received_amount,total_itc_received,total_gst_received,total_invoices,total_amount_all,avg_invoice_amount,total_itc_all,total_gst_all,itc_ratio
D05C2024,Tech 000,MHXETEC6298X7188,XETEC6298X,2022-10-29,"16 Tech Park, Bengaluru",Jaipur,MH,Construction,100000.0,0,0,0,98594.53,2.0,49297.265,31265.327370927207,9720.51,7579.8,57512.34,2.0,28756.17,15547.213366491113,7769.99,9011.64,4.0,156106.87,39026.7175,17490.5,16591.44,0.11204183390519584
D05C1670,Acme 001,GJPQLWP1036U4123,PQLWP1036U,2022-09-11,"650 MG Road, Pune",Chennai,GJ,Telecom,406010.56,0,0,0,238940.34,10.0,23894.034,20121.173783971506,20694.239999999998,22294.99,49138.509999999995,3.0,16379.503333333332,4794.0969098917185,3402.35,6887.12,13.0,288078.85,22159.911538461536,24096.589999999997,29182.11,0.0836458143317359
D05C9956,Star 002,WBMTKUU6250V7280,MTKUU6250V,2018-02-07,"629 Tech Park, Delhi",Ahmedabad,WB,IT Services,310812.64,0,0,0,3873.3,1.0,3873.3,0.0,331.68,496.39,783580.7100000001,3.0,261193.57000000004,422562.65365845704,117606.37000000001,121031.76,4.0,787454.0100000001,196863.50250000003,117938.05,121528.15,0.14977134982143273
D05C9573,Acme 003,TSEGKFR8899V1027,EGKFR8899V,2023-10-07,"694 Market Rd, Mumbai",Jaipur,TS,Automotive,254813.77,0,0,0,62751.67,3.0,20917.22333333333,3795.7678700143574,7592.469999999999,6884.0,35707.49,2.0,17853.745,3826.911397256278,5407.37,4626.4400000000005,5.0,98459.16,19691.832000000002,12999.84,11510.44,0.13203281441767328
D05C6601,Acme 004,MHQCCAO1492G7557,QCCAO1492G,2020-03-13,"27 Industrial Area, Ahmedabad",Bengaluru,MH,Automotive,100000.0,0,0,0,138643.87,7.0,19806.26714285714,9776.801757264853,17054.4,12645.310000000001,212563.63,8.0,26570.45375,25102.058403876497,25900.43,27189.69,15.0,351207.5,23413.833333333332,42954.83,39835.0,0.12230612956727861
D05C6944,Acme 005,DLQAQUK8844Z5456,QAQUK8844Z,2022-04-21,"215 Station Rd, Bengaluru",Hyderabad,DL,Metals,572880.54,0,0,0,76093.99,3.0,25364.663333333334,16191.38179117006,6224.71,9749.82,257688.74,5.0,51537.748,66681.47008012624,31839.61,38172.880000000005,8.0,333782.73,41722.84125,38064.32,47922.700000000004,0.11403921347278813
D05C4580,Star 006,MHYDGFN7763R4664,YDGFN7763R,2023-04-14,"795 Ring Rd, Surat",Pune,MH,Energy,100000.0,0,0,0,107493.51999999999,4.0,26873.379999999997,14400.44974616418,8038.61,12718.14,86154.51,5.0,17230.902,7844.449137700492,7677.860000000001,11011.84,9.0,193648.02999999997,21516.447777777776,15716.470000000001,23729.98,0.0811599787511394
D05C4915,Prime 007,TNCVQBZ4384W4943,CVQBZ4384W,2020-12-07,"48 Station Rd, Surat",Chennai,TN,Food & Bev,289681.21,0,0,0,89270.92,3.0,29756.97333333333,11936.171827409045,12546.720000000001,6783.11,199392.15,5.0,39878.43,25094.926215032992,23183.97,23214.760000000002,8.0,288663.07,36082.88375,35730.69,29997.870000000003,0.12377991407075384
D05C5263,Global 008,GJPKYMQ4218D1539,PKYMQ4218D,2023-10-29,"68 Station Rd, Chennai",Ahmedabad,GJ,Textiles,132421.43,0,0,0,37180.38,3.0,12393.46,3741.356968654554,4085.83,5134.75,207931.43,8.0,25991.42875,21450.146986259915,23811.32,19478.4,11.0,245111.81,22282.89181818182,27897.15,24613.15,0.11381397738444346
D05C3444,Acme 009,TNOFTCW3112M6845,OFTCW3112M,2022-12-24,"634 Station Rd, Chennai",Delhi,TN,Pharma,107502.63,1,0,1,1956652.17,3.0,652217.39,103634.48477427335,252127.91999999998,283860.2,1300708.83,9.0,144523.20333333334,221042.8174200615,174762.87,166097.71,12.0,3257361.0,271446.75,426890.79,449957.91000000003,0.13105418466052735
