invoice_id,seller_id,buyer_id,invoice_date,amount,gst_amount,itc_claimed,invoice_items,status,payment_method
D06I33288,D06C9414,D06C8593,2024-02-26,793283.02,82340.12,128145.92,2391;9826,Pending,Cheque
D06I48974,D06C3372,D06C6972,2024-03-26,34400.44,2867.57,4044.19,8096,Paid,Cash
D06I45190,D06C8360,D06C5184,2024-03-21,240564.33,17801.18,29873.43,2502;8505,Pending,Cash
D06I60872,D06C8420,D06C4965,2024-06-19,27529.67,4864.38,4309.87,6211;4255,Pending,Cash
D06I41519,D06C8941,D06C1864,2024-02-02,5321.72,477.94,435.86,9814;4033;2731,Pending,Bank Transfer
D06I22183,D06C9299,D06C1433,2024-05-03,16499.46,1356.5,1631.06,7448;3113,Paid,Cash
D06I89600,D06C9598,D06C8374,2024-02-02,453345.33,66016.71,47141.51,5507;2701;3260,Pending,Bank Transfer
D06I68419,D06C8753,D06C8992,2024-01-22,14617.39,1309.46,744.57,4291;2088,Pending,UPI
D06I90179,D06C3210,D06C9151,2024-05-25,3166.51,211.63,351.86,7097;4660;2920,Pending,Cheque
D06I29018,D06C4708,D06C5465,2024-02-05,764156.36,136499.68,93876.94,6294;3297,Cancelled,Cash
D06I61128,D06C7720,D06C6043,2024-05-15,44711.75,2278.62,5849.19,3919,Paid,Bank Transfer
D06I26015,D06C9963,D06C6483,2024-03-10,14813.98,1612.53,2476.43,3830;2120;9361,Pending,UPI
D06I76701,D06C8016,D06C4697,2024-02-03,72621.26,8358.87,8224.31,7267;2692;1132,Paid,Bank Transfer
D06I10702,D06C9740,D06C3923,2024-03-07,29877.13,5096.92,4697.81,3082,Cancelled,UPI
D06I80271,D06C2790,D06C7725,2024-02-01,31179.57,4344.28,4529.37,4144;5550;9030,Pending,Cash
D06I16308,D06C8420,D06C9535,2024-04-03,85823.06,13448.12,13311.97,3082;4995;8574,Cancelled,Cash
D06I21699,D06C7427,D06C8212,2024-01-14,14513.24,1903.11,2579.35,6368;7747;1655,Pending,UPI
D06I83708,D06C7908,D06C3331,2024-05-17,17456.61,2158.25,3083.5,4672;9910;2973,Paid,UPI
D06I82346,D06C3178,D06C9580,2024-06-13,687532.62,107114.59,102184.86,6695,Paid,Bank Transfer
D06I25589,D06C8646,D06C2651,2024-05-31,7460.13,1180.07,1062.06,3713,Cancelled,Cash
D06I77949,D06C5860,D06C7756,2024-06-05,30143.06,2259.31,4024.93,3446,Cancelled,UPI
D06I66978,D06C9134,D06C3920,2024-03-02,5197.28,666.17,852.27,7402;6800,Pending,Bank Transfer
D06I97072,D06C1678,D06C1550,2024-01-20,602483.67,68769.59,59057.98,9395,Paid,Cash
D06I99014,D06C5599,D06C5311,2024-03-12,17650.62,1961.52,2352.52,5720;9558;9916,Cancelled,Cash
D06I93741,D06C2890,D06C2444,2024-02-06,729486.8,50231.99,62666.07,2837,Paid,UPI
D06I48582,D06C3002,D06C4826,2024-04-08,16900.9,2172.06,2017.89,5733;7037;1500,Cancelled,Cheque
D06I85771,D06C1996,D06C1508,2024-06-10,13705.45,720.74,1939.44,6600;3307;9547,Paid,Bank Transfer
D06I43611,D06C5357,D06C1057,2024-04-29,37296.08,2280.51,3338.35,6631;6747,Paid,UPI
D06I33885,D06C5738,D06C9553,2024-04-17,15261.4,1805.1,2638.34,3987;7014,Pending,Bank Transfer
D06I93782,D06C5210,D06C8913,2024-04-02,99433.75,13284.86,5927.66,6015;6231,Cancelled,UPI
D06I92649,D06C8992,D06C3588,2024-06-06,578698.37,38187.21,54871.72,5431;2238,Pending,Bank Transfer
D06I96489,D06C3147,D06C4378,2024-01-22,82984.04,8706.66,10897.25,3577,Paid,UPI
D06I93981,D06C7886,D06C4205,2024-06-25,129237.35,17747.75,21037.74,4694;7411,Paid,Cheque
D06I31633,D06C5488,D06C7152,2024-05-28,12386.24,948.36,1402.6,5144;1982;3511,Cancelled,Cash
D06I47742,D06C7141,D06C5273,2024-06-23,185822.4,13638.62,11425.59,6833,Paid,Cheque
D06I92974,D06C7536,D06C6436,2024-05-17,47752.48,3625.14,6629.37,7180,Pending,Cash
D06I63862,D06C9328,D06C8209,2024-06-17,75887.54,12068.82,8093.02,4784,Cancelled,Cash
D06I89504,D06C6995,D06C1937,2024-02-16,26166.4,2459.05,1974.63,6920;9601;3766,Paid,Cheque
D06I86134,D06C6127,D06C1678,2024-06-21,7292.37,1312.1,1115.49,4554,Cancelled,Cash
D06I76927,D06C7727,D06C6245,2024-04-10,18464.63,2218.29,2340.8,7104,Pending,UPI
D06I49110,D06C6065,D06C5273,2024-04-23,581889.79,33173.18,80121.28,1388;5992,Paid,Bank Transfer
D06I21223,D06C2878,D06C9037,2024-06-26,27342.03,4709.34,3795.53,9535;4685,Cancelled,Cheque
D06I92846,D06C6067,D06C3693,2024-06-10,471407.3,84130.68,55487.21,5664;3312,Pending,Cash
D06I52093,D06C7600,D06C1813,2024-02-21,54585.49,3269.73,3785.29,3885;2729,Cancelled,Cheque
D06I25058,D06C1500,D06C9191,2024-03-27,1302.11,206.76,177.43,5777;6253;1950,Cancelled,Bank Transfer
D06I58213,D06C1424,D06C7449,2024-03-29,6355.72,815.45,899.12,5421,Pending,Cheque
D06I29930,D06C7953,D06C4205,2024-04-11,20596.09,1581.68,2727.62,6212;7324,Pending,UPI
D06I18241,D06C7953,D06C9578,2024-05-14,22952.59,2570.48,1514.65,8176,Cancelled,Bank Transfer
D06I40733,D06C3178,D06C8374,2024-06-29,316082.71,33445.67,44795.53,3558;5494;7083,Paid,Bank Transfer
D06I91092,D06C9191,D06C1832,2024-04-21,54906.15,5785.16,7834.0,5989;7842,Pending,Cash
D06I93434,D06C6787,D06C7229,2024-05-15,43964.81,4960.1,2639.35,6529,Pending,UPI
D06I47290,D06C8360,D06C2556,2024-03-29,793433.11,73009.35,72501.02,7125;7700,Paid,Cheque
D06I36525,D06C9496,D06C6995,2024-04-08,23682.38,2503.75,2745.25,5237;8504;2248,Cancelled,Cash
D06I99049,D06C8709,D06C9151,2024-03-06,42562.2,3959.84,3699.47,4631,Pending,Cheque
D06I38390,D06C8119,D06C3258,2024-06-25,11745.32,1935.16,693.07,4687,Pending,Cheque
D06I22243,D06C1712,D06C7609,2024-06-22,26785.96,2009.43,4435.42,7679;5078,Pending,Bank Transfer
D06I37592,D06C5866,D06C6065,2024-04-12,92388.62,13319.84,12813.62,9728;7914;2163,Paid,Bank Transfer
D06I82230,D06C8852,D06C2371,2024-06-09,17578.9,2990.07,2335.44,3504;4906,Pending,Cheque
D06I51434,D06C2833,D06C5348,2024-04-09,88247.29,14538.25,11130.86,7229,Pending,Bank Transfer
D06I17708,D06C6120,D06C7737,2024-05-17,295948.97,36163.0,29631.76,4678;9370,Cancelled,Cash
D06I81832,D06C8936,D06C6857,2024-06-25,21880.67,1156.98,1800.97,5032,Cancelled,Bank Transfer
D06I46413,D06C1420,D06C1368,2024-03-02,38609.76,5717.28,4921.13,5665;4052,Paid,UPI
D06I78616,D06C2160,D06C9827,2024-02-21,66117.03,11162.61,3876.9,9901;5784,Pending,Cheque
D06I12366,D06C8285,D06C4391,2024-06-20,18542.48,3094.29,1948.8,2703;1896;3937,Pending,Cash
D06I61137,D06C3627,D06C8321,2024-03-13,20500.41,1135.27,2159.29,9881;1516,Pending,Cheque
D06I95652,D06C4120,D06C3473,2024-03-08,8571.37,763.09,1045.4,7651,Pending,Cheque
D06I16827,D06C6408,D06C9980,2024-04-28,56270.9,5002.8,2927.91,7369;1309;8280,Pending,Bank Transfer
D06I18081,D06C7070,D06C6363,2024-03-23,13141.77,1023.99,1365.68,2291;2437,Cancelled,UPI
D06I66090,D06C5085,D06C5611,2024-04-04,3120.55,405.73,268.15,4019;9142;4217,Paid,Cheque
D06I99404,D06C8586,D06C8583,2024-02-18,5447.62,941.75,459.87,4138,Pending,UPI
D06I68163,D06C1462,D06C3349,2024-01-07,34165.25,2436.19,3903.88,2246;3673,Pending,Bank Transfer
D06I48040,D06C3598,D06C3851,2024-04-11,3269.62,364.25,213.93,3604,Pending,Cash
D06I80395,D06C8124,D06C2434,2024-01-25,21935.05,2772.24,2458.36,4916;9796,Paid,Cash
D06I70097,D06C5445,D06C8662,2024-05-23,3766.9,322.91,672.4,3589;3890;6184,Paid,UPI
D06I49151,D06C1189,D06C7553,2024-05-28,409889.05,33432.81,64597.5,2501,Paid,Bank Transfer
D06I41499,D06C3531,D06C3693,2024-04-27,33139.5,5958.66,5093.36,7402;1487,Cancelled,Bank Transfer
D06I62468,D06C2639,D06C2079,2024-04-17,21850.8,2134.44,1553.91,7287;2614;9091,Pending,Cash
D06I67894,D06C1035,D06C2427,2024-03-28,18094.83,2675.71,1121.41,2119,Cancelled,Cheque
D06I89370,D06C3320,D06C2856,2024-01-30,694966.05,58514.86,74879.76,2379,Paid,Cash
D06I42987,D06C8287,D06C5897,2024-03-18,5552.21,701.23,924.89,4968,Paid,UPI
D06I47787,D06C1995,D06C1189,2024-05-31,53910.33,7091.35,5229.2,9532;5645,Cancelled,Cheque
D06I22990,D06C2706,D06C1856,2024-03-30,596196.87,68185.48,73606.57,1364,Cancelled,Cash
D06I90874,D06C2190,D06C6131,2024-04-20,51178.58,3591.99,3600.95,6464;1172,Paid,UPI
D06I46715,D06C9515,D06C5503,2024-04-06,76128.15,8895.91,5908.66,1283;3229;5557,Cancelled,Cash
D06I49405,D06C9515,D06C5611,2024-01-31,23301.67,2011.25,3347.36,3099,Paid,Cheque
D06I16750,D06C8209,D06C8146,2024-02-12,9804.63,1296.08,1119.77,3813;4343,Paid,Bank Transfer
D06I85791,D06C9638,D06C7970,2024-05-06,60962.57,8110.52,7136.12,5576,Paid,Cash
D06I84780,D06C3320,D06C3858,2024-02-04,709571.82,106294.21,85773.87,9665;1272;8322,Pending,Bank Transfer
D06I19517,D06C7072,D06C9615,2024-03-26,6246.95,842.66,395.34,7728,Pending,Cheque
